,LEAID,County,State,State/County,School District,ALL_MTH00pctprof_1112,ALL_RLA00pctprof_1112,Ages 5 to 17 in Families in Poverty Percent
1435,607260,Yuba County,CA,Yuba County CA,Camptonville Elementary,40.0,59.0,28.55
1436,607350,Contra Costa County,CA,Contra Costa County CA,Canyon Elementary,64.5,74.5,13.7
1437,607410,Glenn County,CA,Glenn County CA,Capay Joint Union Elementary,57.0,62.0,25.1
1438,607440,Orange County,CA,Orange County CA,Capistrano Unified,74.0,77.0,17.0
1439,607470,San Diego County,CA,San Diego County CA,Cardiff Elementary,83.0,84.0,19.1
1440,607500,San Diego County,CA,San Diego County CA,Carlsbad Unified,74.0,78.0,19.1
1441,607530,Monterey County,CA,Monterey County CA,Carmel Unified,82.0,84.0,24.5
1442,607560,Santa Barbara County,CA,Santa Barbara County CA,Carpinteria Unified,57.0,55.0,20.6
1443,607680,Shasta County,CA,Shasta County CA,Cascade Union Elementary,47.0,51.0,24.0
1444,607740,Los Angeles County,CA,Los Angeles County CA,Castaic Union Elementary,59.0,68.0,25.75
1445,607770,Shasta County,CA,Shasta County CA,Castle Rock Union Elementary,44.5,54.5,24.0
1446,607800,Alameda County,CA,Alameda County CA,Castro Valley Unified,75.0,77.0,16.0
1447,607840,San Luis Obispo County,CA,San Luis Obispo County CA,Cayucos Elementary,77.0,77.0,15.85
1448,607900,Sacramento County,CA,Sacramento County CA,Center Joint Unified,56.0,61.0,24.35
1449,607920,Los Angeles County,CA,Los Angeles County CA,Centinela Valley Union High,43.0,45.0,25.75
1450,607950,San Bernardino County,CA,San Bernardino County CA,Central Elementary,67.0,64.0,25.55
1451,607970,Fresno County,CA,Fresno County CA,Central Unified,58.0,51.0,35.25
1452,607980,Kings County,CA,Kings County CA,Central Union Elementary,58.0,57.0,27.1
1453,608010,Imperial County,CA,Imperial County CA,Central Union High,60.0,54.0,31.2
1454,608070,Orange County,CA,Orange County CA,Centralia Elementary,78.0,72.0,17.0
1455,608130,Stanislaus County,CA,Stanislaus County CA,Ceres Unified,53.0,54.0,27.8
1456,608160,San Bernardino County,CA,San Bernardino County CA,Chaffey Joint Union High,59.0,57.0,25.55
1457,608190,Los Angeles County,CA,Los Angeles County CA,Charter Oak Unified,59.0,64.0,25.75
1458,608250,Stanislaus County,CA,Stanislaus County CA,Chatom Union,52.0,46.0,27.8
1459,608340,Nevada County,CA,Nevada County CA,Chicago Park Elementary,52.0,67.0,15.5
1460,608370,Butte County,CA,Butte County CA,Chico Unified,57.0,60.0,25.700000000000003
1461,608460,San Bernardino County,CA,San Bernardino County CA,Chino Valley Unified,65.0,67.0,25.55
1462,608520,Madera County,CA,Madera County CA,Chowchilla Elementary,44.0,45.0,31.25
1463,608550,Madera County,CA,Madera County CA,Chowchilla Union High,42.0,46.0,31.25
1464,608580,Monterey County,CA,Monterey County CA,Chualar Union,42.0,34.0,24.5
1465,608610,San Diego County,CA,San Diego County CA,Chula Vista Elementary,74.0,68.0,19.1
1466,608640,San Benito County,CA,San Benito County CA,Cienega Union Elementary,50.0,50.0,16.15
1468,608730,Tulare County,CA,Tulare County CA,Citrus South Tule Elementary,30.0,30.0,36.8
1469,608760,Los Angeles County,CA,Los Angeles County CA,Claremont Unified,68.0,75.0,25.75
1470,608850,Fresno County,CA,Fresno County CA,Clay Joint Elementary,77.0,72.0,35.25
1471,608880,Nevada County,CA,Nevada County CA,Clear Creek Elementary,67.0,67.0,15.5
1472,608970,Sonoma County,CA,Sonoma County CA,Cloverdale Unified,52.0,48.0,13.8
